Name,Ticker,Sub-Sector
Aksharchem (India) Ltd,AKSHARCHEM,Specialty Chemicals
LGB Forge Ltd,LGBFORGE,Auto Parts
Jeevan Scientific Technology Ltd,JSTL,Labs & Life Sciences Services
Smartlink Holdings Ltd,SMARTLINK,Communication & Networking
Jasch Industries Ltd,JASCH,Textiles
North Eastern Carrying Corporation Ltd,NECCLTD,Logistics
Motilal Oswal Nifty Midcap 100 ETF,MOM100,Equity
Beacon Trusteeship Ltd,BEACON,Diversified Financials
Sonal Mercantile Ltd,SONAL,Diversified Financials
APT Packaging Ltd,APTPACK,Plastic Products
Machino Plastics Ltd,MACPLASQ,Auto Parts
Resonance Specialties Ltd,RESONANCE,Specialty Chemicals
B D Industries (Pune) Ltd,BDI,Plastic Products
CCME Global Ltd,CCME,Biotechnology
Kotak Nifty PSU Bank ETF,PSUBANK,Equity
PRO FX Tech Ltd,PROFX,Electronic Equipments
Nagarjuna Agri Tech Ltd,NAGTECH,Agro Products
AMJ Land Holdings Ltd,AMJLAND,Real Estate
JK Agri Genetics Ltd,JK AGRI,Seeds
IP Rings Ltd,IPRINGLTD,Auto Parts
Enfuse Solutions Ltd,ENFUSE,IT Services & Consulting
Envirotech Systems Ltd,ENVIRO,Electronic Equipments
Aayush Wellness Ltd,AAYUSH,Wellness Services
Prajay Engineers Syndicate Ltd,PRAENG,Construction & Engineering
California Software Company Ltd,CALSOFT,IT Services & Consulting
Karbonsteel Engineering Ltd,KARBON,Construction & Engineering
Accretion Pharmaceuticals Ltd,ACCPL,Pharmaceuticals
LKP Securities Ltd,LKPSEC,Diversified Financials
VL E-Governance & IT Solutions Ltd,VLEGOV,IT Services & Consulting
Kore Digital Ltd,KDL,Telecom Infrastructure
Usha Financial Services Ltd,USHAFIN,Consumer Finance
Gujarat Intrux Ltd,GUJINTRX,Iron & Steel
RFBL Flexi Pack Ltd,RFBL,
Hindprakash Industries Ltd,HPIL,Diversified Chemicals
Duncan Engineering Ltd,DUNCANENG,Auto Parts
Alpa Laboratories Ltd,ALPA,Pharmaceuticals
Vaxfab Enterprises Ltd,VEL,Textiles
Ruchi Infrastructure Ltd,RUCHINFRA,Agro Products
Jayesh Logistics Ltd,JAYESH,Logistics
Bilcare Ltd,BI,Packaging
Alan Scott Enterprises Ltd,ALANSCOTT,Movies & TV Serials
Indbank Merchant Banking Services Ltd,INDBANK,Investment Banking & Brokerage
Mukta Arts Ltd,MUKTAARTS,Movies & TV Serials
Keynote Financial Services Ltd,KEYFINSERV,Investment Banking & Brokerage
Signet Industries Ltd,SIGIND,Plastic Products
VJTF Eduservices Ltd,VJTFEDU,Education Services
Positron Energy Ltd,POSITRON,Oil & Gas - Equipment & Services
Jyoti Ltd,JYOTI,Heavy Electrical Equipments
ARCL Organics Ltd,ARCL,Specialty Chemicals
Maximus International Ltd,MAXIMUS,Commodities Trading
Srivari Spices and Foods Ltd,SSFL,FMCG - Foods
Amba Enterprises Ltd,AEL,Electrical Components & Equipments
Ikoma Technologies Ltd,IKOMA,Communication & Networking
IBL Finance Ltd,IBLFL,Consumer Finance
Barflex Polyfilms Ltd,BARFLEX,Packaging
National Fittings Ltd,NATFIT,Iron & Steel
Reliable Data Services Ltd,RELIABLE,Outsourced services
Yashhtej Industries (India) Ltd,YASHHTEJ,Agro Products
Lagnam Spintex Ltd,LAGNAM,Textiles
Bright Brothers Ltd,BRIGHTBR,Commodity Chemicals
Ashapuri Gold Ornament Ltd,AGOL,"Precious Metals, Jewellery & Watches"
Tyche Industries Ltd,TYCHE,Pharmaceuticals
Rapid Fleet Management Services Ltd,RAPIDFLEET,Logistics
Energy-Mission Machineries (India) Ltd,EMMIL,Industrial Machinery
Nexome Capital Markets Ltd,NEXOME,Investment Banking & Brokerage
G. G. Automotive Gears Ltd,GGAUTO,Auto Parts
Gallard Steel Ltd,GALLARD,Industrial Machinery
Rajshree Polypack Ltd,RPPL,Plastic Products
Lakshmi Engineering and Warehousing Ltd,LAKSHMIEW,Logistics
Balaxi Pharmaceuticals Ltd,BALAXI,Health Care Equipment & Supplies
Marc Technocrats Ltd,MARC,Business Support Services
Xelpmoc Design and Tech Ltd,XELPMOC,IT Services & Consulting
K I C Metaliks Ltd,KAJARIR,Iron & Steel
KHFM Hospitality and Facility Management Services Ltd,KHFM,Business Support Services
Shyam Dhani Industries Ltd,SHYAMDHANI,FMCG - Foods
Krebs Biochemicals and Industries Ltd,KREBSBIO,Pharmaceuticals
Parnax Lab Ltd,PARNAXLAB,Pharmaceuticals
NSB BPO Solutions Ltd,NSBBPO,Business Support Services
Achyut Healthcare Ltd,ACHYUT,Pharmaceuticals
Intrasoft Technologies Ltd,ISFT,Retail - Online
Smruthi Organics Ltd,SMRUTHIORG,Pharmaceuticals
Jay Ambe Supermarkets Ltd,CITYSQUARE,Retail - Speciality
Bal Pharma Ltd,BALPHARMA,Pharmaceuticals
Dhunseri Tea & Industries Ltd,DTIL,Tea & Coffee
Elfin Agro India Ltd,ELFIN,FMCG - Foods
Refex Renewables & Infrastructure Ltd,REFEXRENEW,Renewable Energy
Mangalam Seeds Ltd,MSL,Seeds
Narmada Agrobase Ltd,NARMADA,Agro Products
Globus Power Generation Ltd,GLOBUSCON,Power Generation
Winsol Engineers Ltd,WINSOL,Construction & Engineering
Swadeshi Polytex Ltd,SWADPOL,Real Estate
Trustedge Capital Ltd,TRUSTEDGE,Specialized Finance
Polson Ltd,POLSON,Commodity Chemicals
Duroply Industries Ltd,DUROPLY,Paper Products
Magnum Ventures Ltd,MAGNUM,Paper Products
Aeron Composite Ltd,AERON,Building Products - Others
Dhoot Industrial Finance Ltd,DHOOTIN,Commodities Trading
Avro India Ltd,AVROIND,Plastic Products
Kandarp Digi Smart Bpo Ltd,KANDARP,Outsourced services
Caprihans India Ltd,CAPRIHANS,Commodity Chemicals
HEC Infra Projects Ltd,HECPROJECT,Electrical Components & Equipments
Lactose (India) Ltd,LACTOSE,Pharmaceuticals
Virat Leasing Ltd,VLL,Diversified Financials
Shah Alloys Ltd,SHAHALLOYS,Iron & Steel
Maha Rashtra Apex Corporation Ltd,MAHAPEXLTD,Consumer Finance
Shri Gang Industries and Allied Products Ltd,SHRIGANG,Packaged Foods & Meats
Master Components Ltd,MASTER,Plastic Products
Siddhika Coatings Ltd,SIDDHIKA,Construction & Engineering
Pmc Fincorp Ltd,PMCFIN,Diversified Financials
Rockingdeals Circular Economy Ltd,ROCKINGDCE,Technology Hardware
Meta Infotech Ltd,METAINFO,Software Services
Alphageo (India) Ltd,ALPHAGEO,Oil & Gas - Equipment & Services
Chemcrux Enterprises Ltd,CHEMCRUX,Commodity Chemicals
W H Brady & Company Ltd,WHBRADY,Heavy Machinery
Bluegod Entertainment Ltd,BLUEGOD,Movies & TV Serials
Kanoria Energy & Infrastructure Ltd,KEIL,Building Products - Others
Elnet Technologies Ltd,ELNET,Real Estate
Dev Labtech Venture Ltd,DEVLAB,Hospitals & Diagnostic Centres
Bio Medica Laboratories Ltd,BMLL,
Uravi Defence and Technology Ltd,URAVIDEF,Electrical Components & Equipments
Pioneer Investcorp Ltd,PIONRINV,Investment Banking & Brokerage
Upsurge Investment and Finance Ltd,UPSURGE,Diversified Financials
Lorenzini Apparels Ltd,LAL,Apparel & Accessories
Dharni Capital Services Ltd,DHARNI,Specialized Finance
SNL Bearings Ltd,SNL,Industrial Machinery
Jocil Ltd,JOCIL,Commodity Chemicals
Surana Solar Ltd,SURANASOL,Renewable Energy Equipment & Services
Viram Suvarn Ltd,VSL,"Precious Metals, Jewellery & Watches"
Aspira Pathlab & Diagnostics Ltd,ASPIRA,Hospitals & Diagnostic Centres
Aartech Solonics Ltd,AARTECH,Electrical Components & Equipments
Enser Communications Ltd,ENSER,IT Services & Consulting
Latteys Industries Ltd,LATTEYS,Industrial Machinery
Manilam Industries India Ltd,MANILAM,Building Products - Laminates
Western India Plywoods Ltd,WIPL,Wood Products
Kifs Financial Services Ltd,KIFS,Specialized Finance
Aesthetik Engineers Ltd,AESTHETIK,Construction & Engineering
SecMark Consultancy Ltd,SECMARK,IT Services & Consulting
Jeyyam Global Foods Ltd,JEYYAM,FMCG - Foods
Sampann Utpadan India Ltd,SAMPANN,Commodity Chemicals
Indian Sucrose Ltd,INDSUCR,Sugar
Harshdeep Hortico Ltd,HARSHDEEP,Housewares
Raaj Medisafe India Ltd,RAAJMEDI,Health Care Equipment & Supplies
Tirupati Starch & Chemicals Ltd,TIRUSTA,Commodity Chemicals
BSL Ltd,BSL,Textiles
Tarmat Ltd,TARMAT,Construction & Engineering
Canarys Automations Ltd,CANARYS,IT Services & Consulting
Udayshivakumar Infra Ltd,USK,Construction & Engineering
Sanco Trans Ltd,SANCTRN,Logistics
Amba Auto Sales and Services Ltd,AMBAAUTO,Two Wheelers
Expo Engineering and Projects Ltd,EXPOEAPL,Agricultural & Farm Machinery
Greenchef Appliances Ltd,GREENCHEF,Home Electronics & Appliances
Indian Card Clothing Company Ltd,INDIANCARD,Industrial Machinery
BCPL Railway Infrastructure Ltd,BCPL,Construction & Engineering
Chemtech Industrial Valves Ltd,CHEMTECH,Industrial Machinery
Kaira Can Co Ltd,KAIRA,Packaging
Sancode Technologies Ltd,SANCODE,Software Services
Bengal Tea & Fabrics Ltd,BENGALT,Textiles
Norben Tea and Exports Ltd,NORBTEAEXP,Tea & Coffee
Binayak Tex Processors Ltd,ZBINTXPP,Textiles
TCI Industries Ltd,TCIIND,Commodities Trading
Coral India Finance and Housing Ltd,CORALFINAC,Real Estate
Vishwaraj Sugar Industries Ltd,VISHWARAJ,Sugar
National Plastic Technologies Ltd,NATPLASTI,Plastic Products
Crown Lifters Ltd,CROWN,Heavy Machinery
Maruti Infrastructure Ltd,MAINFRA,Construction & Engineering
Aaradhya Disposal Industries Ltd,AARADHYA,Paper Products
Sambhaav Media Ltd,SAMBHAAV,Publishing
Bihar Sponge Iron Ltd,BIHSPONG,Iron & Steel
Aluwind Infra-Tech Ltd,ALUWIND,Building Products - Others
Focus Business Solution Ltd,FOCUS,Business Support Services
Retaggio Industries Ltd,RETAGGIO,"Precious Metals, Jewellery & Watches"
Novelix Pharmaceuticals Ltd,NOVELIX,Pharmaceuticals
Cubex Tubings Ltd,CUBEXTUB,Metals - Copper
Raama Finance Ltd,RLFL,Diversified Financials
Anka India Ltd,ANKIN,IT Services & Consulting
Dollex Agrotech Ltd,DOLLEX,Sugar
Hindustan Hardy Ltd,HINDHARD,Auto Parts
Reganto Enterprises Ltd,REGANTO,Electronic Equipments
Prodocs Solutions Ltd,PRODOCS,IT Services & Consulting
Vipul Ltd,VIPULLTD,Real Estate
Texmo Pipes and Products Ltd,TEXMOPIPES,Plastic Products
Aztec Fluids & Machinery Ltd,AZTEC,Industrial Machinery
Eppeltone Engineers Ltd,EEPL,Electrical Components & Equipments
Sampre Nutritions Ltd,SAMPRE,FMCG - Foods
TBI Corn Ltd,TBI,Agro Products
Weizmann Ltd,WEIZMANIND,Textiles
Godavari Drugs Ltd,GODAVARI,Pharmaceuticals
Panth Infinity Ltd,PANTH,Commodities Trading
Excel Realty N Infra Ltd,LANDSMILL,Business Support Services
Oval Projects Engineering Ltd,OVAL,Oil & Gas - Equipment & Services
M P K Steels (1) Ltd,MPKSTEELS,Iron & Steel
Ace men engg works Ltd,ACEMEN,Diversified Financials
RICHA INFO SYSTEMS LIMITED,RICHA,Academic & Educational Services
Anik Industries Ltd,ANIKINDS,Commodities Trading
Lahoti Overseas Ltd,LAHOTIOV,Textiles
Autoriders International Ltd,AUTOINT,Tour & Travel Services
Apollo Techno Industries Ltd,ATIL,Construction & Engineering
